feature,selected_runs,selection_rate
num__total_click,3,1.0
num__total_cart,3,1.0
num__total_buy,3,1.0
num__total_fav,3,1.0
num__last7_click,3,1.0
num__last7_cart,3,1.0
num__last7_buy,3,1.0
num__last7_fav,3,1.0
num__total_action,3,1.0
num__last7_action,3,1.0
num__buy_rate_total,3,1.0
num__buy_rate_last7,3,1.0
num__recent_activity_ratio,3,1.0
num__click_to_buy_rate,3,1.0
num__cart_to_buy_rate,3,1.0
num__fav_to_buy_rate,3,1.0
num__last7_buy_share,3,1.0
cat__age_range_0.0,3,1.0
cat__age_range_1.0,3,1.0
cat__age_range_2.0,3,1.0
cat__age_range_3.0,3,1.0
cat__age_range_4.0,3,1.0
cat__age_range_5.0,3,1.0
cat__age_range_6.0,3,1.0
cat__age_range_7.0,3,1.0
cat__age_range_unk,3,1.0
cat__gender_0.0,3,1.0
cat__gender_1.0,3,1.0
cat__gender_2.0,3,1.0
cat__gender_unk,3,1.0
cat__age_range_8.0,2,0.6666666666666666
