feature,coef
cat__gender_unk,-0.4935064079458879
cat__age_range_1.0,-0.43676551900267724
cat__age_range_unk,-0.3300776614346736
num__last7_buy_share,0.3050367385487341
num__recent_activity_ratio,-0.20888737497084742
num__buy_rate_total,-0.20739045780785942
cat__gender_2.0,0.17905421761943485
cat__age_range_5.0,0.1700115889045801
num__click_to_buy_rate,0.1667973564303822
cat__age_range_6.0,0.14931765007829945
cat__age_range_2.0,-0.1395809966937204
cat__age_range_8.0,0.13082689554035895
cat__age_range_4.0,0.1299567881070932
cat__gender_0.0,0.12402690883117495
cat__age_range_7.0,0.10897973774756939
num__buy_rate_last7,-0.09738292429972427
num__fav_to_buy_rate,0.07338587260164481
num__total_cart,-0.04737705178708658
cat__age_range_0.0,0.04350634555211691
num__last7_fav,0.036474147022901526
num__total_buy,-0.03438067322962773
num__last7_buy,-0.03438067322962773
num__total_click,0.029532697883847714
num__total_action,0.027277212535609646
num__total_fav,0.01683038938587732
num__last7_click,0.016479667258259254
num__last7_action,0.01614217525992654
num__last7_cart,0.009875272490823293
cat__gender_1.0,0.009011788428228196
cat__age_range_3.0,-0.0075883218726901305
num__cart_to_buy_rate,-0.004738647575139914
