feature,gain,weight
num__last7_buy_share,353.32489013671875,18.0
num__total_buy,114.62985229492188,430.0
num__cart_to_buy_rate,113.64027404785156,399.0
num__last7_buy,57.12529373168945,86.0
num__total_action,50.40851593017578,1222.0
cat__gender_unk,32.801231384277344,192.0
num__recent_activity_ratio,27.8543758392334,2805.0
cat__age_range_2.0,26.110692977905273,364.0
num__total_click,26.070709228515625,1458.0
num__buy_rate_total,25.41617202758789,1229.0
num__click_to_buy_rate,24.94750213623047,1186.0
cat__age_range_unk,22.775997161865234,107.0
cat__gender_1.0,21.18643569946289,328.0
cat__age_range_5.0,20.89152717590332,313.0
cat__gender_2.0,20.81346893310547,276.0
cat__age_range_4.0,20.738431930541992,358.0
num__buy_rate_last7,20.69274139404297,1138.0
cat__gender_0.0,20.65420150756836,394.0
num__last7_action,20.407155990600586,903.0
num__total_fav,19.669374465942383,1067.0
cat__age_range_6.0,19.66171646118164,271.0
num__last7_click,19.650331497192383,1082.0
num__fav_to_buy_rate,19.545684814453125,1282.0
cat__age_range_3.0,19.277423858642578,394.0
num__last7_fav,19.073776245117188,619.0
num__total_cart,18.855316162109375,236.0
cat__age_range_7.0,18.78291130065918,217.0
cat__age_range_0.0,17.45048713684082,362.0
num__last7_cart,17.020347595214844,133.0
cat__age_range_8.0,16.521400451660156,91.0
cat__age_range_1.0,6.5788164138793945,9.0
