feature,gain,weight
pair_buy_to_cart_wall,2778.3317260742188,119.0
merchant_click_w1,1890.9181518554688,1793.0
te_merchant,1881.3173828125,9702.0
merchant_cart_w1,1663.437744140625,907.0
merchant_pre1111_cart,1486.0792694091797,446.0
merchant_cart_w3,1387.2417907714844,532.0
pair_buy_to_cart_w7,1342.0521850585938,295.0
merchant_buy_w1,1316.0706176757812,907.0
merchant_click_w7,1251.3843688964844,232.0
log1p_pair_action_all,1225.310344696045,27.0
merchant_click_w60,1203.4049682617188,283.0
merchant_buy_w180,1192.3899536132812,524.0
merchant_cart_w7,1171.5134887695312,371.0
merchant_fav_w1,1135.3416748046875,871.0
merchant_click_w180,1133.6535873413086,387.0
merchant_fav_w180,1126.2441101074219,393.0
merchant_buy_w3,1107.3231353759766,304.0
merchant_fav_w90,1096.5238189697266,370.0
merchant_click_w14,1090.0615234375,236.0
merchant_click_w3,1075.1690979003906,315.0
merchant_cart_w90,1045.8665466308594,145.0
merchant_fav_w7,1035.965446472168,427.0
merchant_buy_w7,1029.2175750732422,249.0
merchant_fav_w30,1028.270004272461,375.0
merchant_buy_w60,1010.7629089355469,404.0
merchant_pre1111_buy,998.7804718017578,1318.0
merchant_cart_w14,981.6427688598633,243.0
merchant_fav_w60,980.2999420166016,391.0
merchant_fav_w3,977.8896026611328,508.0
merchant_fav_w14,975.9432525634766,390.0
merchant_click_w90,973.1323699951172,288.0
merchant_buy_w90,957.701545715332,422.0
merchant_buy_w14,955.8952941894531,291.0
merchant_click_wall,944.2829055786133,82.0
merchant_click_w30,937.7109832763672,248.0
pair_buy_to_cart_w30,922.344123840332,129.0
merchant_pre1111_click,921.5642547607422,367.0
te_merchant_log1p_count,880.8592300415039,569.0
merchant_action_w180,841.9128112792969,137.0
merchant_buy_w30,819.7131500244141,386.0
pair_action_wall,810.9274749755859,163.0
merchant_action_w1,808.7244873046875,205.0
merchant_fav_wall,806.7159118652344,224.0
pair_action_w180,797.3928451538086,634.0
pair_buy_w3,792.8414297103882,81.0
merchant_pre1111_action,775.542610168457,214.0
merchant_buy_wall,773.1937408447266,224.0
merchant_cart_w30,745.2452392578125,206.0
merchant_action_wall,740.2528305053711,61.0
